,match_id,game,blue_team,red_team,result,GEN,T1,DRX,DK,HLE,KT,LSB,NS,KDF,BRION
122,123,game_1,DK,LSB,LSB,0.64,0.73,0.25,0.64,0.56,0.64,0.58,0.17,0.36,0.4
123,124,game_2,DK,LSB,LSB,0.64,0.73,0.25,0.61,0.56,0.64,0.59,0.17,0.36,0.4
124,125,game_1,NS,GEN,GEN,0.65,0.73,0.25,0.61,0.56,0.64,0.59,0.17,0.36,0.4
125,126,game_2,NS,GEN,GEN,0.67,0.73,0.25,0.61,0.56,0.64,0.59,0.16,0.36,0.4
126,127,game_1,KT,DK,DK,0.67,0.73,0.25,0.62,0.56,0.62,0.59,0.16,0.36,0.4
127,128,game_2,DK,KT,DK,0.67,0.73,0.25,0.64,0.56,0.59,0.59,0.16,0.36,0.4
128,129,game_1,HLE,BRION,HLE,0.67,0.73,0.25,0.64,0.58,0.59,0.59,0.16,0.36,0.38
129,130,game_2,BRION,HLE,BRION,0.67,0.73,0.25,0.64,0.56,0.59,0.59,0.16,0.36,0.41
130,131,game_3,HLE,BRION,HLE,0.67,0.73,0.25,0.64,0.57,0.59,0.59,0.16,0.36,0.39
131,132,game_1,T1,LSB,T1,0.67,0.74,0.25,0.64,0.57,0.59,0.57,0.16,0.36,0.39
132,133,game_2,LSB,T1,T1,0.67,0.75,0.25,0.64,0.57,0.59,0.55,0.16,0.36,0.39
133,134,game_1,GEN,DRX,GEN,0.68,0.75,0.24,0.64,0.57,0.59,0.55,0.16,0.36,0.39
134,135,game_2,DRX,GEN,GEN,0.69,0.75,0.23,0.64,0.57,0.59,0.55,0.16,0.36,0.39
135,136,game_1,DK,KDF,DK,0.69,0.75,0.23,0.65,0.57,0.59,0.55,0.16,0.35,0.39
136,137,game_2,KDF,DK,DK,0.69,0.75,0.23,0.67,0.57,0.59,0.55,0.16,0.33,0.39
137,138,game_1,T1,KT,T1,0.69,0.76,0.23,0.67,0.57,0.57,0.55,0.16,0.33,0.39
138,139,game_2,T1,KT,T1,0.69,0.77,0.23,0.67,0.57,0.55,0.55,0.16,0.33,0.39
139,140,game_1,NS,LSB,NS,0.69,0.77,0.23,0.67,0.57,0.55,0.53,0.19,0.33,0.39
140,141,game_2,LSB,NS,LSB,0.69,0.77,0.23,0.67,0.57,0.55,0.55,0.19,0.33,0.39
141,142,game_3,NS,LSB,LSB,0.69,0.77,0.23,0.67,0.57,0.55,0.56,0.18,0.33,0.39
142,143,game_1,BRION,DRX,BRION,0.69,0.77,0.22,0.67,0.57,0.55,0.56,0.18,0.33,0.41
143,144,game_2,DRX,BRION,DRX,0.69,0.77,0.25,0.67,0.57,0.55,0.56,0.18,0.33,0.4
144,145,game_3,BRION,DRX,DRX,0.69,0.77,0.28,0.67,0.57,0.55,0.56,0.18,0.33,0.39
145,146,game_1,HLE,KDF,HLE,0.69,0.77,0.28,0.67,0.59,0.55,0.56,0.18,0.32,0.39
146,147,game_2,KDF,HLE,HLE,0.69,0.77,0.28,0.67,0.6,0.55,0.56,0.18,0.31,0.39
147,148,game_1,KDF,T1,T1,0.69,0.77,0.28,0.67,0.6,0.55,0.56,0.18,0.3,0.39
148,149,game_2,KDF,T1,T1,0.69,0.78,0.28,0.67,0.6,0.55,0.56,0.18,0.29,0.39
149,150,game_1,DRX,DK,DK,0.69,0.78,0.27,0.68,0.6,0.55,0.56,0.18,0.29,0.39
150,151,game_2,DK,DRX,DK,0.69,0.78,0.26,0.69,0.6,0.55,0.56,0.18,0.29,0.39
151,152,game_1,KT,GEN,KT,0.67,0.78,0.26,0.69,0.6,0.57,0.56,0.18,0.29,0.39
152,153,game_2,GEN,KT,GEN,0.68,0.78,0.26,0.69,0.6,0.55,0.56,0.18,0.29,0.39
153,154,game_3,GEN,KT,KT,0.66,0.78,0.26,0.69,0.6,0.56,0.56,0.18,0.29,0.39
154,155,game_1,HLE,NS,HLE,0.66,0.78,0.26,0.69,0.61,0.56,0.56,0.17,0.29,0.39
155,156,game_2,NS,HLE,HLE,0.66,0.78,0.26,0.69,0.62,0.56,0.56,0.17,0.29,0.39
156,157,game_1,LSB,KDF,LSB,0.66,0.78,0.26,0.69,0.62,0.56,0.58,0.17,0.28,0.39
157,158,game_2,KDF,LSB,KDF,0.66,0.78,0.26,0.69,0.62,0.56,0.56,0.17,0.3,0.39
158,159,game_3,LSB,KDF,KDF,0.66,0.78,0.26,0.69,0.62,0.56,0.54,0.17,0.32,0.39
159,160,game_1,BRION,T1,T1,0.66,0.79,0.26,0.69,0.62,0.56,0.54,0.17,0.32,0.38
160,161,game_2,T1,BRION,T1,0.66,0.79,0.26,0.69,0.62,0.56,0.54,0.17,0.32,0.36
