,gameid,split,blue_team,red_team,blue_wr,red_wr,result
90,ESPORTSTMNT01_3311011,Spring,Liiv SANDBOX,DRX,0.5714285714285714,0.35294117647058826,1
91,ESPORTSTMNT01_3310502,Spring,Kwangdong Freecs,Nongshim RedForce,0.29411764705882354,0.23529411764705882,1
92,ESPORTSTMNT01_3311520,Spring,Nongshim RedForce,Kwangdong Freecs,0.2222222222222222,0.3333333333333333,0
93,ESPORTSTMNT01_3310542,Spring,KT Rolster,Gen.G,0.5555555555555556,0.75,0
94,ESPORTSTMNT01_3310561,Spring,Gen.G,KT Rolster,0.7647058823529411,0.5263157894736842,0
95,ESPORTSTMNT01_3309624,Spring,KT Rolster,Gen.G,0.55,0.7222222222222222,1
96,ESPORTSTMNT01_3309955,Spring,Dplus KIA,Hanwha Life Esports,0.5882352941176471,0.5263157894736842,1
97,ESPORTSTMNT01_3311892,Spring,Hanwha Life Esports,Dplus KIA,0.5,0.6111111111111112,0
98,ESPORTSTMNT01_3310923,Spring,T1,DRX,0.7222222222222222,0.3333333333333333,1
99,ESPORTSTMNT01_3309997,Spring,DRX,T1,0.3157894736842105,0.7368421052631579,0
100,ESPORTSTMNT02_3148631,Spring,DRX,KT Rolster,0.3,0.5714285714285714,0
101,ESPORTSTMNT02_3150633,Spring,KT Rolster,DRX,0.5909090909090909,0.2857142857142857,1
102,ESPORTSTMNT02_3150637,Spring,Nongshim RedForce,Hanwha Life Esports,0.21052631578947367,0.47619047619047616,0
103,ESPORTSTMNT02_3148704,Spring,Nongshim RedForce,Hanwha Life Esports,0.2,0.5,0
104,ESPORTSTMNT02_3149952,Spring,BRION,Dplus KIA,0.4,0.631578947368421,0
105,ESPORTSTMNT02_3150955,Spring,BRION,Dplus KIA,0.38095238095238093,0.65,0
106,ESPORTSTMNT02_3150959,Spring,Kwangdong Freecs,Gen.G,0.3684210526315789,0.6842105263157895,0
107,ESPORTSTMNT02_3151024,Spring,Kwangdong Freecs,Gen.G,0.35,0.7,1
108,ESPORTSTMNT02_3148999,Spring,Kwangdong Freecs,Gen.G,0.38095238095238093,0.6666666666666666,0
109,ESPORTSTMNT02_3151319,Spring,Liiv SANDBOX,T1,0.5909090909090909,0.75,1
110,ESPORTSTMNT02_3151356,Spring,T1,Liiv SANDBOX,0.7142857142857143,0.6086956521739131,1
111,ESPORTSTMNT02_3152336,Spring,Liiv SANDBOX,T1,0.5833333333333334,0.7272727272727273,0
112,ESPORTSTMNT02_3151375,Spring,Hanwha Life Esports,DRX,0.5217391304347826,0.2727272727272727,1
113,ESPORTSTMNT02_3151399,Spring,DRX,Hanwha Life Esports,0.2608695652173913,0.5416666666666666,0
114,ESPORTSTMNT02_3151678,Spring,Kwangdong Freecs,BRION,0.36363636363636365,0.36363636363636365,1
115,ESPORTSTMNT02_3153683,Spring,BRION,Kwangdong Freecs,0.34782608695652173,0.391304347826087,1
116,ESPORTSTMNT02_3152651,Spring,Kwangdong Freecs,BRION,0.375,0.375,0
117,ESPORTSTMNT02_3151708,Spring,Nongshim RedForce,KT Rolster,0.19047619047619047,0.6086956521739131,0
118,ESPORTSTMNT02_3151734,Spring,Nongshim RedForce,KT Rolster,0.18181818181818182,0.625,0
119,ESPORTSTMNT02_3154050,Spring,T1,Gen.G,0.7391304347826086,0.6818181818181818,0
120,ESPORTSTMNT02_3156036,Spring,T1,Gen.G,0.7083333333333334,0.6956521739130435,1
121,ESPORTSTMNT02_3155063,Spring,Gen.G,T1,0.6666666666666666,0.72,0
122,ESPORTSTMNT02_3154086,Spring,Dplus KIA,Liiv SANDBOX,0.6666666666666666,0.56,0
123,ESPORTSTMNT02_3156083,Spring,Dplus KIA,Liiv SANDBOX,0.6363636363636364,0.5769230769230769,0
124,ESPORTSTMNT02_3158638,Spring,Nongshim RedForce,Gen.G,0.17391304347826086,0.64,0
125,ESPORTSTMNT02_3157736,Spring,Nongshim RedForce,Gen.G,0.16666666666666666,0.6538461538461539,0
126,ESPORTSTMNT02_3159649,Spring,KT Rolster,Dplus KIA,0.64,0.6086956521739131,0
127,ESPORTSTMNT02_3158788,Spring,Dplus KIA,KT Rolster,0.625,0.6153846153846154,1
128,ESPORTSTMNT02_3161272,Spring,Hanwha Life Esports,BRION,0.56,0.4,1
129,ESPORTSTMNT02_3161348,Spring,BRION,Hanwha Life Esports,0.38461538461538464,0.5769230769230769,1
130,ESPORTSTMNT02_3160419,Spring,Hanwha Life Esports,BRION,0.5555555555555556,0.4074074074074074,1
131,ESPORTSTMNT02_3161391,Spring,T1,Liiv SANDBOX,0.7307692307692307,0.5925925925925926,1
132,ESPORTSTMNT02_3162355,Spring,Liiv SANDBOX,T1,0.5714285714285714,0.7407407407407407,0
133,ESPORTSTMNT02_3160953,Spring,Gen.G,DRX,0.6666666666666666,0.25,1
134,ESPORTSTMNT02_3160975,Spring,DRX,Gen.G,0.24,0.6785714285714286,0
135,ESPORTSTMNT02_3160991,Spring,Dplus KIA,Kwangdong Freecs,0.64,0.36,1
136,ESPORTSTMNT02_3163043,Spring,Kwangdong Freecs,Dplus KIA,0.34615384615384615,0.6538461538461539,0
137,ESPORTSTMNT02_3163421,Spring,T1,KT Rolster,0.75,0.5925925925925926,1
