,match_id,gameid,game,blue_team,red_team,result,BRION,GEN,KDF,DK,HLE,KT,DRX,LSB,T1,NS
25,26,ESPORTSTMNT03_3090319,game_2,DK,NS,DK,0.8,0.5,0.2,1.0,0.6,0.5,0.0,0.4,0.8,0.14
26,27,ESPORTSTMNT03_3090322,game_1,LSB,KT,LSB,0.8,0.5,0.2,1.0,0.6,0.43,0.0,0.5,0.8,0.14
27,28,ESPORTSTMNT03_3091336,game_2,KT,LSB,KT,0.8,0.5,0.2,1.0,0.6,0.5,0.0,0.43,0.8,0.14
28,29,ESPORTSTMNT03_3090339,game_3,LSB,KT,LSB,0.8,0.5,0.2,1.0,0.6,0.44,0.0,0.5,0.8,0.14
29,30,ESPORTSTMNT03_3089607,game_1,GEN,BRION,GEN,0.67,0.6,0.2,1.0,0.6,0.44,0.0,0.5,0.8,0.14
30,31,ESPORTSTMNT03_3090562,game_2,BRION,GEN,GEN,0.57,0.67,0.2,1.0,0.6,0.44,0.0,0.5,0.8,0.14
31,32,ESPORTSTMNT03_3090563,game_1,T1,KDF,T1,0.57,0.67,0.17,1.0,0.6,0.44,0.0,0.5,0.83,0.14
32,33,ESPORTSTMNT03_3090572,game_2,KDF,T1,T1,0.57,0.67,0.14,1.0,0.6,0.44,0.0,0.5,0.86,0.14
33,34,ESPORTSTMNT03_3090837,game_1,DRX,NS,DRX,0.57,0.67,0.14,1.0,0.6,0.44,0.2,0.5,0.86,0.12
34,35,ESPORTSTMNT03_3089931,game_2,DRX,NS,NS,0.57,0.67,0.14,1.0,0.6,0.44,0.17,0.5,0.86,0.22
35,36,ESPORTSTMNT03_3090868,game_3,NS,DRX,NS,0.57,0.67,0.14,1.0,0.6,0.44,0.14,0.5,0.86,0.3
36,37,ESPORTSTMNT03_3091907,game_1,HLE,KT,KT,0.57,0.67,0.14,1.0,0.5,0.5,0.14,0.5,0.86,0.3
37,38,ESPORTSTMNT03_3090903,game_2,HLE,KT,KT,0.57,0.67,0.14,1.0,0.43,0.55,0.14,0.5,0.86,0.3
38,39,ESPORTSTMNT03_3093250,game_1,T1,DK,DK,0.57,0.67,0.14,1.0,0.43,0.55,0.14,0.5,0.75,0.3
39,40,ESPORTSTMNT03_3093271,game_2,T1,DK,T1,0.57,0.67,0.14,0.88,0.43,0.55,0.14,0.5,0.78,0.3
40,41,ESPORTSTMNT03_3094238,game_3,DK,T1,T1,0.57,0.67,0.14,0.78,0.43,0.55,0.14,0.5,0.8,0.3
41,42,ESPORTSTMNT03_3092329,game_1,BRION,LSB,BRION,0.62,0.67,0.14,0.78,0.43,0.55,0.14,0.44,0.8,0.3
